frame 172 : (190,79), (174,98), (155,169), (142,234), (135,250), (181,269), (195,260)
frame 173 : (191,79), (175,97), (155,168), (142,233), (135,250), (181,269), (195,260)
frame 174 : (192,79), (176,97), (156,168), (142,233), (135,249), (181,269), (195,260)
frame 175 : (193,79), (177,97), (156,168), (142,233), (135,249), (181,268), (195,260)
frame 176 : (194,79), (178,97), (157,167), (142,232), (135,248), (181,268), (195,260)
frame 177 : (195,78), (179,97), (157,167), (142,232), (135,248), (181,268), (195,260)
frame 178 : (196,78), (180,97), (158,167), (143,231), (135,247), (181,268), (195,260)
frame 179 : (197,78), (181,96), (159,166), (143,231), (136,247), (181,268), (195,260)
frame 180 : (198,78), (182,96), (159,166), (143,231), (135,246), (181,268), (195,260)
frame 181 : (200,78), (183,96), (160,165), (143,230), (136,246), (181,268), (196,261)
frame 182 : (201,78), (185,96), (161,165), (144,229), (136,245), (181,268), (196,261)
frame 183 : (202,78), (186,96), (162,165), (144,229), (136,244), (181,268), (196,261)
frame 184 : (204,77), (187,95), (162,164), (144,228), (136,244), (181,268), (196,261)
frame 185 : (205,77), (188,95), (163,163), (144,228), (136,243), (181,268), (196,261)
frame 186 : (207,77), (189,95), (164,163), (145,227), (137,242), (181,268), (196,261)
frame 187 : (208,77), (191,94), (165,163), (145,226), (137,242), (181,268), (196,261)
frame 188 : (209,77), (192,94), (165,162), (145,226), (137,241), (181,268), (197,261)
frame 189 : (211,76), (193,94), (166,161), (146,225), (137,240), (181,268), (197,261)
frame 190 : (213,76), (195,93), (167,161), (146,224), (138,239), (181,267), (197,262)
frame 191 : (214,76), (196,93), (168,160), (147,224), (138,238), (181,267), (197,262)
frame 192 : (215,76), (197,93), (169,160), (147,223), (138,238), (181,267), (197,262)
frame 193 : (217,75), (199,92), (170,159), (148,222), (139,237), (181,267), (198,262)
frame 194 : (218,75), (200,92), (171,159), (148,222), (139,236), (181,267), (198,263)
frame 195 : (220,75), (202,92), (172,158), (149,221), (140,235), (181,267), (198,263)
frame 196 : (222,75), (203,91), (173,157), (149,221), (140,234), (181,267), (198,263)
frame 197 : (223,75), (205,91), (174,157), (150,220), (141,234), (181,267), (198,263)
frame 198 : (225,75), (206,91), (175,156), (150,219), (141,233), (181,267), (199,263)
frame 199 : (226,74), (208,91), (176,156), (151,218), (142,232), (182,267), (199,263)
frame 200 : (228,74), (209,90), (177,155), (152,218), (142,231), (182,267), (199,263)
frame 201 : (230,74), (211,90), (178,155), (152,217), (143,230), (182,267), (199,264)
frame 202 : (232,74), (212,90), (179,154), (153,216), (143,229), (182,267), (199,264)
frame 203 : (234,74), (214,89), (180,153), (154,216), (144,228), (182,266), (199,264)
frame 204 : (235,73), (216,89), (181,152), (155,215), (145,228), (182,266), (199,264)
frame 205 : (237,73), (217,89), (183,152), (155,214), (146,227), (182,266), (199,263)
frame 206 : (239,73), (219,88), (184,151), (156,213), (146,226), (182,266), (199,264)
frame 207 : (241,73), (221,88), (186,150), (157,212), (147,225), (182,266), (199,264)
frame 208 : (243,73), (223,88), (187,150), (158,212), (148,224), (182,266), (200,264)
frame 209 : (245,73), (224,88), (188,149), (159,211), (149,223), (182,266), (200,263)
frame 210 : (247,73), (226,87), (190,149), (160,210), (150,222), (182,266), (200,264)
frame 211 : (249,73), (228,87), (191,148), (161,209), (151,221), (182,266), (200,263)
frame 212 : (251,73), (230,87), (193,147), (162,208), (152,220), (183,266), (200,263)
frame 213 : (252,73), (232,87), (194,147), (163,207), (153,219), (183,265), (200,263)
frame 214 : (255,72), (234,86), (196,146), (164,207), (153,217), (183,265), (200,263)
frame 215 : (257,72), (236,86), (197,145), (165,206), (154,216), (183,265), (200,263)
frame 216 : (259,72), (238,86), (199,145), (166,205), (155,215), (183,264), (200,263)
frame 217 : (261,72), (240,86), (201,144), (167,204), (156,214), (184,264), (200,263)
frame 218 : (264,72), (242,86), (203,143), (168,202), (157,212), (184,263), (200,262)
frame 219 : (266,72), (244,85), (204,142), (169,202), (159,211), (184,263), (200,262)
frame 220 : (269,72), (247,85), (206,142), (171,201), (160,210), (184,262), (200,261)
frame 221 : (271,72), (249,85), (208,141), (172,200), (161,208), (185,261), (200,261)
frame 222 : (274,72), (252,85), (210,140), (173,199), (162,207), (185,260), (200,261)
frame 223 : (276,72), (254,84), (212,140), (175,197), (164,206), (185,259), (200,261)
frame 224 : (279,71), (257,84), (214,139), (176,196), (165,205), (186,258), (201,260)
frame 225 : (281,71), (259,84), (216,138), (178,195), (167,203), (187,257), (201,260)
frame 226 : (284,71), (262,84), (219,138), (180,194), (168,202), (187,256), (201,259)
frame 227 : (287,71), (264,83), (221,137), (181,193), (170,201), (188,255), (202,259)
frame 228 : (290,71), (267,83), (223,136), (183,192), (172,199), (189,254), (203,258)
frame 229 : (292,71), (270,83), (226,136), (185,191), (174,198), (190,253), (203,258)
frame 230 : (295,70), (272,82), (228,135), (187,190), (176,197), (190,252), (204,257)
frame 231 : (298,70), (275,82), (230,135), (189,189), (177,196), (192,251), (205,256)
frame 232 : (300,70), (278,82), (233,134), (191,188), (179,195), (192,250), (206,256)
frame 233 : (303,70), (281,82), (235,134), (193,187), (181,194), (194,249), (207,255)
frame 234 : (306,70), (283,81), (237,133), (195,186), (183,193), (195,248), (208,254)
frame 235 : (308,69), (286,81), (240,132), (197,185), (185,192), (196,247), (209,254)
frame 236 : (311,69), (289,81), (242,132), (199,184), (188,191), (198,246), (210,253)
frame 237 : (314,69), (291,81), (244,132), (201,183), (189,190), (199,245), (212,253)
frame 238 : (317,69), (294,80), (247,131), (203,183), (192,189), (201,244), (213,252)
frame 239 : (319,69), (297,80), (249,131), (205,182), (194,188), (203,244), (215,251)
frame 240 : (322,68), (299,80), (252,130), (207,181), (196,188), (205,243), (217,251)
frame 241 : (324,68), (302,80), (254,130), (210,181), (198,187), (207,243), (219,250)
frame 242 : (327,68), (305,79), (257,130), (212,181), (200,187), (209,242), (221,250)
frame 243 : (329,68), (307,79), (259,129), (214,180), (203,186), (211,242), (223,250)
frame 244 : (332,67), (310,79), (261,129), (217,180), (205,186), (214,241), (225,250)
frame 245 : (334,67), (312,78), (264,129), (219,180), (207,186), (216,241), (228,249)
frame 246 : (337,67), (315,78), (266,129), (222,180), (210,186), (219,241), (231,249)
frame 247 : (339,66), (317,78), (269,128), (224,180), (212,186), (222,241), (234,249)
frame 248 : (342,66), (320,78), (271,128), (227,180), (215,186), (224,240), (237,249)
frame 249 : (344,66), (322,78), (274,128), (229,180), (217,187), (227,240), (240,249)
frame 250 : (347,66), (325,78), (276,128), (232,180), (220,187), (231,241), (243,249)
frame 251 : (349,66), (327,78), (279,128), (234,181), (222,188), (234,241), (246,249)
frame 252 : (352,65), (330,77), (281,129), (237,181), (225,188), (237,241), (249,250)
frame 253 : (354,65), (332,77), (284,129), (240,182), (228,189), (240,242), (253,250)
frame 254 : (356,65), (334,77), (286,129), (242,182), (230,190), (244,242), (256,250)
frame 255 : (359,65), (337,77), (289,130), (245,183), (233,191), (247,243), (260,250)
frame 256 : (361,65), (339,77), (291,130), (248,184), (236,192), (251,244), (263,251)
frame 257 : (363,64), (342,77), (294,130), (250,185), (238,193), (255,245), (267,251)
frame 258 : (366,64), (344,77), (297,131), (253,186), (241,194), (258,246), (271,252)
frame 259 : (368,64), (347,77), (299,131), (256,187), (244,195), (262,247), (275,253)
frame 260 : (371,64), (349,77), (302,132), (259,188), (247,197), (266,247), (279,253)
frame 261 : (373,64), (351,77), (304,132), (262,189), (250,198), (270,248), (283,254)
frame 262 : (375,64), (354,77), (307,133), (265,190), (253,199), (274,249), (287,254)
frame 263 : (378,63), (356,77), (310,134), (268,191), (256,201), (279,250), (291,255)
frame 264 : (380,63), (358,78), (313,135), (271,193), (259,203), (283,251), (295,256)
frame 265 : (382,63), (361,78), (315,135), (274,194), (262,204), (287,252), (300,257)
frame 266 : (384,63), (363,78), (318,136), (277,196), (265,206), (292,253), (304,257)
frame 267 : (386,63), (365,78), (320,137), (281,197), (269,208), (296,255), (308,258)
frame 268 : (389,63), (368,79), (323,138), (284,198), (272,209), (300,256), (313,259)
frame 269 : (391,63), (370,79), (326,139), (287,200), (275,211), (305,257), (317,260)
frame 270 : (393,63), (372,79), (329,140), (291,202), (279,213), (309,258), (321,261)
frame 271 : (395,63), (374,79), (332,141), (294,203), (283,215), (314,259), (326,261)
frame 272 : (397,63), (377,80), (335,142), (298,205), (286,217), (318,260), (330,262)
frame 273 : (399,64), (379,80), (338,143), (301,207), (290,219), (323,262), (335,263)
frame 274 : (401,64), (381,81), (341,144), (305,208), (293,221), (328,263), (340,264)
frame 275 : (403,64), (383,81), (344,146), (308,210), (297,223), (333,264), (344,265)
frame 276 : (405,64), (385,81), (346,147), (312,212), (301,225), (338,265), (349,266)
frame 277 : (407,64), (387,82), (349,148), (316,213), (305,227), (343,266), (354,267)
frame 278 : (409,64), (390,82), (352,149), (320,215), (309,229), (348,267), (359,268)
frame 279 : (411,64), (391,83), (355,150), (324,217), (313,231), (353,268), (364,269)
frame 280 : (413,64), (394,83), (358,152), (328,219), (317,233), (358,269), (369,269)
frame 281 : (414,65), (396,83), (361,153), (332,221), (321,235), (363,271), (374,270)
frame 282 : (416,65), (398,84), (365,154), (336,222), (325,237), (368,272), (379,271)
frame 283 : (418,65), (400,84), (367,155), (339,224), (330,239), (373,273), (384,272)
frame 284 : (420,65), (402,85), (371,156), (344,226), (334,241), (379,274), (389,272)
frame 285 : (421,65), (404,85), (374,157), (348,227), (338,243), (384,275), (394,273)
frame 286 : (423,66), (406,86), (377,159), (352,229), (343,246), (389,275), (400,274)
frame 287 : (425,66), (408,86), (380,160), (356,231), (347,247), (395,276), (405,274)
frame 288 : (426,66), (410,87), (383,161), (361,233), (352,249), (401,277), (410,275)
frame 289 : (428,66), (411,87), (386,162), (365,234), (356,251), (406,278), (415,275)
frame 290 : (429,66), (413,87), (390,163), (369,236), (361,253), (412,279), (421,276)
frame 291 : (431,67), (415,88), (393,164), (374,237), (366,254), (417,279), (426,276)
frame 292 : (432,67), (417,88), (396,165), (378,239), (370,256), (423,280), (431,277)
frame 293 : (434,67), (419,89), (399,166), (383,240), (375,258), (429,281), (437,277)
frame 294 : (435,67), (420,89), (402,167), (387,241), (380,259), (434,281), (442,278)
frame 295 : (436,68), (422,90), (405,168), (392,243), (385,261), (440,282), (447,278)
frame 296 : (437,68), (424,90), (408,168), (396,244), (390,262), (445,282), (452,278)
frame 297 : (439,68), (425,91), (412,169), (401,245), (395,263), (450,282), (458,278)
frame 298 : (440,68), (427,91), (415,170), (405,246), (399,265), (456,283), (463,279)
frame 299 : (441,69), (429,92), (418,171), (410,247), (404,266), (461,283), (468,279)
frame 300 : (442,69), (430,92), (421,172), (415,248), (409,267), (467,283), (473,279)
frame 301 : (443,69), (432,93), (424,172), (419,249), (414,268), (473,284), (479,279)
frame 302 : (444,69), (433,93), (427,173), (424,250), (419,269), (478,284), (484,279)
frame 303 : (445,70), (435,93), (431,174), (428,250), (424,270), (483,284), (489,279)
frame 304 : (446,70), (436,94), (434,174), (433,251), (429,271), (489,284), (494,279)
frame 305 : (447,70), (438,94), (437,175), (438,252), (433,272), (494,284), (500,279)
frame 306 : (448,71), (439,95), (440,175), (442,252), (438,272), (499,284), (504,278)
frame 307 : (449,71), (441,95), (443,176), (447,253), (443,273), (504,283), (510,278)
frame 308 : (450,71), (442,95), (446,176), (451,253), (447,273), (509,283), (515,277)
frame 309 : (451,71), (444,96), (449,177), (455,253), (452,273), (514,283), (520,277)
frame 310 : (452,72), (445,96), (452,177), (460,254), (457,274), (519,282), (525,277)
frame 311 : (453,72), (447,96), (455,177), (464,254), (461,274), (524,282), (530,276)
frame 312 : (454,72), (448,97), (458,177), (468,254), (466,274), (529,281), (534,275)
frame 313 : (455,73), (449,97), (460,178), (473,255), (470,275), (533,281), (539,275)
frame 314 : (456,73), (450,97), (463,178), (477,255), (475,275), (538,280), (544,274)
frame 315 : (457,73), (452,97), (466,178), (481,255), (479,275), (543,279), (548,274)
frame 316 : (458,74), (453,98), (468,178), (485,255), (483,275), (547,279), (552,273)
frame 317 : (459,74), (455,98), (471,178), (489,255), (487,275), (551,278), (556,272)
frame 318 : (460,74), (456,98), (473,178), (492,254), (491,275), (555,277), (560,271)
frame 319 : (461,74), (457,99), (476,178), (496,254), (495,275), (559,277), (564,271)
frame 320 : (462,75), (458,99), (478,178), (499,254), (498,275), (563,276), (568,270)
frame 321 : (464,75), (460,99), (480,178), (502,254), (502,275), (566,276), (571,270)
frame 322 : (465,75), (461,99), (483,178), (505,254), (505,275), (569,275), (574,269)
frame 323 : (466,75), (463,99), (485,178), (508,254), (508,275), (572,275), (577,269)
frame 324 : (468,76), (465,100), (487,178), (510,254), (510,275), (575,275), (579,269)
frame 325 : (470,76), (467,100), (488,178), (512,254), (512,275), (577,275), (581,269)
frame 326 : (472,76), (468,100), (490,179), (514,254), (514,275), (579,275), (583,269)
frame 327 : (474,76), (470,100), (492,179), (516,255), (516,276), (580,275), (585,269)
frame 328 : (476,76), (472,100), (494,179), (517,255), (517,276), (582,276), (586,270)
frame 329 : (478,76), (474,100), (495,179), (518,255), (518,276), (583,276), (588,271)
frame 330 : (479,76), (476,100), (497,179), (519,255), (519,276), (584,277), (589,271)
frame 331 : (481,76), (478,100), (498,180), (520,256), (520,276), (585,278), (590,272)
frame 332 : (483,76), (479,100), (500,180), (521,256), (520,277), (586,279), (591,273)
frame 333 : (485,76), (481,101), (501,180), (522,257), (521,277), (586,280), (591,274)
